id;name;username;email;kd_pwk;role;nm_pemda;password;
1;Administrator;admin;bansos_admin@mail.com;admin;Admin;Rendal Bansos;Bans0sAPBD;
2;Perwakilan BPKP Aceh;pw01;bansos_pw01@mail.com;PW01;Perwakilan BPKP;Prov. Aceh;password;
3;Perwakilan BPKP Sumatera Utara;pw02;bansos_pw02@mail.com;PW02;Perwakilan BPKP;Prov. Sumatera Utara;password;
4;Perwakilan BPKP Sumatera Barat;pw03;bansos_pw03@mail.com;PW03;Perwakilan BPKP;Prov. Sumatera Barat;password;
5;Perwakilan BPKP Riau;pw04;bansos_pw04@mail.com;PW04;Perwakilan BPKP;Prov. Riau;password;
6;Perwakilan BPKP Jambi;pw05;bansos_pw05@mail.com;PW05;Perwakilan BPKP;Prov. Jambi;password;
7;Perwakilan BPKP Bengkulu;pw06;bansos_pw06@mail.com;PW06;Perwakilan BPKP;Prov. Bengkulu;password;
8;Perwakilan BPKP Sumatera Selatan;pw07;bansos_pw07@mail.com;PW07;Perwakilan BPKP;Prov. Sumatera Selatan;password;
9;Perwakilan BPKP Lampung;pw08;bansos_pw08@mail.com;PW08;Perwakilan BPKP;Prov. Lampung;password;
10;Perwakilan BPKP DKI Jakarta;pw09;bansos_pw09@mail.com;PW09;Perwakilan BPKP;Prov. DKI Jakarta;password;
11;Perwakilan BPKP Jawa Barat;pw10;bansos_pw10@mail.com;PW10;Perwakilan BPKP;Prov. Jawa Barat;password;
12;Perwakilan BPKP Jawa Tengah;pw11;bansos_pw11@mail.com;PW11;Perwakilan BPKP;Prov. Jawa Tengah;password;
13;Perwakilan BPKP Daerah Istimewa Yogyakarta;pw12;bansos_pw12@mail.com;PW12;Perwakilan BPKP;Prov. Daerah Istimewa Yogyakarta;password;
14;Perwakilan BPKP Jawa Timur;pw13;bansos_pw13@mail.com;PW13;Perwakilan BPKP;Prov. Jawa Timur;password;
15;Perwakilan BPKP Kalimantan Barat;pw14;bansos_pw14@mail.com;PW14;Perwakilan BPKP;Prov. Kalimantan Barat;password;
16;Perwakilan BPKP Kalimantan Tengah;pw15;bansos_pw15@mail.com;PW15;Perwakilan BPKP;Prov. Kalimantan Tengah;password;
17;Perwakilan BPKP Kalimantan Selatan;pw16;bansos_pw16@mail.com;PW16;Perwakilan BPKP;Prov. Kalimantan Selatan;password;
18;Perwakilan BPKP Kalimantan Timur;pw17;bansos_pw17@mail.com;PW17;Perwakilan BPKP;Prov. Kalimantan Timur;password;
19;Perwakilan BPKP Sulawesi Utara;pw18;bansos_pw18@mail.com;PW18;Perwakilan BPKP;Prov. Sulawesi Utara;password;
20;Perwakilan BPKP Sulawesi Tengah;pw19;bansos_pw19@mail.com;PW19;Perwakilan BPKP;Prov. Sulawesi Tengah;password;
